,epoch,train/eval,batch_size,loss,acc
0,0,train,32,22.26226043701172,
0,0,train,32,22.03481674194336,
0,0,train,32,22.04183006286621,
0,0,train,32,21.76319694519043,
0,0,train,32,21.900135040283203,
0,0,train,32,21.89461326599121,
0,0,train,32,22.13947296142578,
0,0,train,32,22.172924041748047,
0,0,train,32,22.135311126708984,
0,0,train,32,22.240829467773438,
0,0,train,32,21.896902084350586,
0,0,train,32,22.26474380493164,
0,0,train,32,21.90970230102539,
0,0,train,32,22.229290008544922,
0,0,train,32,22.474830627441406,
0,0,train,32,21.837507247924805,
0,0,train,32,21.81534194946289,
0,0,train,32,22.046737670898438,
0,0,train,32,22.121475219726562,
0,0,train,32,22.17542839050293,
0,0,train,32,21.791702270507812,
0,0,train,32,21.734760284423828,
0,0,train,32,22.15066146850586,
0,0,train,32,22.191082000732422,
0,0,train,32,22.0181884765625,
0,0,train,32,21.87474250793457,
0,0,train,32,21.97764778137207,
0,0,train,32,22.231224060058594,
0,0,train,32,21.453475952148438,
0,0,train,32,22.299560546875,
0,0,train,32,22.124940872192383,
0,0,train,32,21.884754180908203,
0,0,train,32,21.872699737548828,
0,0,train,32,21.95836639404297,
0,0,train,32,21.801429748535156,
0,0,train,32,22.199438095092773,
0,0,train,32,21.789987564086914,
0,0,train,32,21.819759368896484,
0,0,train,32,21.944190979003906,
0,0,train,32,21.66748809814453,
0,0,train,32,22.001150131225586,
0,0,train,32,22.099353790283203,
0,0,train,32,22.10306167602539,
0,0,train,32,22.182907104492188,
0,0,train,32,22.30813980102539,
0,0,train,32,21.911266326904297,
0,0,train,32,21.95090103149414,
0,0,train,32,21.774961471557617,
0,0,train,32,21.876785278320312,
0,0,train,32,22.038589477539062,
0,0,train,32,21.931459426879883,
0,0,train,32,21.880577087402344,
0,0,train,32,22.101917266845703,
0,0,train,32,22.027877807617188,
0,0,train,32,21.817995071411133,
0,0,train,32,21.744075775146484,
0,0,train,32,21.586650848388672,
0,0,train,32,21.980674743652344,
0,0,train,32,21.79787826538086,
0,0,train,32,21.984848022460938,
0,0,train,32,21.907651901245117,
0,0,train,32,22.139745712280273,
0,0,train,32,21.89588165283203,
0,0,train,32,21.755531311035156,
0,0,train,32,22.008190155029297,
0,0,train,32,22.0299072265625,
0,0,train,32,21.983970642089844,
0,0,train,32,21.935382843017578,
0,0,train,32,22.110061645507812,
0,0,train,32,21.937541961669922,
0,0,train,32,22.02255630493164,
0,0,train,32,21.966171264648438,
0,0,train,32,22.065778732299805,
0,0,train,32,21.958980560302734,
0,0,train,32,21.87845230102539,
0,0,train,32,22.093059539794922,
0,0,train,32,22.146190643310547,
0,0,train,32,21.947973251342773,
0,0,train,32,21.73605728149414,
0,0,train,32,21.941011428833008,
0,0,train,32,21.78702735900879,
0,0,train,32,22.173473358154297,
0,0,train,32,22.07119369506836,
0,0,train,32,22.019603729248047,
0,0,train,32,21.775821685791016,
0,0,train,32,21.943870544433594,
0,0,train,32,22.02589988708496,
0,0,train,32,21.837722778320312,
0,0,train,32,21.883758544921875,
0,0,train,32,21.86697006225586,
0,0,train,32,21.879467010498047,
0,0,train,32,21.75076675415039,
0,0,train,32,21.913375854492188,
0,0,train,32,22.000202178955078,
0,0,train,32,22.162471771240234,
0,0,train,32,21.944110870361328,
0,0,train,32,21.845325469970703,
0,0,train,32,21.747188568115234,
0,0,train,32,22.025667190551758,
0,0,train,32,21.641984939575195,
0,0,train,32,22.10270881652832,
0,0,train,32,21.620128631591797,
0,0,train,32,22.008625030517578,
0,0,train,32,21.848552703857422,
0,0,train,32,21.968826293945312,
0,0,train,32,21.790496826171875,
0,0,train,32,22.08306884765625,
0,0,train,32,21.848241806030273,
0,0,train,32,21.909276962280273,
