,epoch,train/eval,batch_size,loss,acc
0,0,train,32,21.828359603881836,
0,0,train,32,22.373897552490234,
0,0,train,32,22.128154754638672,
0,0,train,32,22.034433364868164,
0,0,train,32,22.254165649414062,
0,0,train,32,22.486568450927734,
0,0,train,32,22.143718719482422,
0,0,train,32,22.223224639892578,
0,0,train,32,21.788616180419922,
0,0,train,32,22.267383575439453,
0,0,train,32,22.106170654296875,
0,0,train,32,22.22818374633789,
0,0,train,32,22.39297866821289,
0,0,train,32,22.074951171875,
0,0,train,32,21.82136344909668,
0,0,train,32,22.30634307861328,
0,0,train,32,22.084575653076172,
0,0,train,32,22.11402130126953,
0,0,train,32,22.219680786132812,
0,0,train,32,22.04450035095215,
0,0,train,32,22.257205963134766,
0,0,train,32,22.383087158203125,
0,0,train,32,22.122238159179688,
0,0,train,32,22.089235305786133,
0,0,train,32,22.016002655029297,
0,0,train,32,21.878459930419922,
0,0,train,32,22.21892738342285,
0,0,train,32,22.33055305480957,
0,0,train,32,22.13119125366211,
0,0,train,32,22.412033081054688,
0,0,train,32,22.516254425048828,
0,0,train,32,22.326629638671875,
0,0,train,32,22.644107818603516,
0,0,train,32,22.415630340576172,
0,0,train,32,22.318675994873047,
0,0,train,32,22.087738037109375,
0,0,train,32,21.711444854736328,
0,0,train,32,22.103092193603516,
0,0,train,32,21.892051696777344,
0,0,train,32,22.188766479492188,
0,0,train,32,22.158035278320312,
0,0,train,32,22.224271774291992,
0,0,train,32,22.12506866455078,
0,0,train,32,21.98124885559082,
0,0,train,32,21.86063003540039,
0,0,train,32,22.248748779296875,
0,0,train,32,22.106861114501953,
0,0,train,32,22.07889175415039,
0,0,train,32,22.097745895385742,
0,0,train,32,21.758312225341797,
0,0,train,32,22.26427459716797,
0,0,train,32,22.365840911865234,
0,0,train,32,21.72616195678711,
0,0,train,32,22.07219696044922,
0,0,train,32,22.296815872192383,
0,0,train,32,22.458030700683594,
0,0,train,32,21.994564056396484,
0,0,train,32,22.28228759765625,
0,0,train,32,22.003833770751953,
0,0,train,32,21.68648910522461,
0,0,train,32,22.128986358642578,
0,0,train,32,21.822813034057617,
0,0,train,32,22.110008239746094,
0,0,train,32,22.278959274291992,
0,0,train,32,22.241899490356445,
0,0,train,32,21.72711181640625,
0,0,train,32,21.591541290283203,
0,0,train,32,22.319765090942383,
0,0,train,32,21.999046325683594,
0,0,train,32,22.234004974365234,
0,0,train,32,22.128921508789062,
0,0,train,32,22.035003662109375,
0,0,train,32,21.7882080078125,
0,0,train,32,22.02726173400879,
0,0,train,32,21.923446655273438,
0,0,train,32,22.1871337890625,
0,0,train,32,22.26546859741211,
0,0,train,32,22.149639129638672,
0,0,train,32,22.14719581604004,
0,0,train,32,22.23068618774414,
0,0,train,32,22.288272857666016,
0,0,train,32,22.382104873657227,
0,0,train,32,21.709823608398438,
0,0,train,32,22.038978576660156,
0,0,train,32,22.174226760864258,
0,0,train,32,22.42557144165039,
0,0,train,32,22.10309600830078,
0,0,train,32,22.496646881103516,
0,0,train,32,22.484310150146484,
0,0,train,32,21.878999710083008,
0,0,train,32,22.1944580078125,
0,0,train,32,21.853431701660156,
0,0,train,32,22.231834411621094,
0,0,train,32,22.113365173339844,
0,0,train,32,22.103309631347656,
0,0,train,32,21.99026870727539,
0,0,train,32,22.522884368896484,
0,0,train,32,22.098987579345703,
0,0,train,32,22.177698135375977,
0,0,train,32,22.513687133789062,
0,0,train,32,22.309829711914062,
0,0,train,32,22.00733184814453,
0,0,train,32,21.98761749267578,
0,0,train,32,21.997455596923828,
0,0,train,32,22.160173416137695,
0,0,train,32,21.931201934814453,
0,0,train,32,22.183223724365234,
0,0,train,32,21.66769027709961,
0,0,train,32,22.08985137939453,
0,0,train,32,22.133787155151367,
0,0,train,32,22.307092666625977,
0,0,train,32,22.168216705322266,
0,0,train,32,22.167030334472656,
0,0,train,32,21.69931983947754,
0,0,train,32,22.309782028198242,
0,0,train,32,22.028606414794922,
0,0,train,32,21.895187377929688,
0,0,train,32,22.023195266723633,
0,0,train,32,22.16341209411621,
0,0,train,32,21.940731048583984,
0,0,train,32,22.04733657836914,
0,0,train,32,21.988513946533203,
0,0,train,32,21.75490951538086,
0,0,train,32,22.158443450927734,
0,0,train,32,21.85677719116211,
0,0,train,32,21.797147750854492,
0,0,train,32,21.728059768676758,
0,0,train,32,22.147924423217773,
0,0,train,32,22.306190490722656,
0,0,train,32,22.017601013183594,
0,0,train,32,22.170982360839844,
0,0,train,32,21.712005615234375,
0,0,train,32,21.672992706298828,
0,0,train,32,22.26788330078125,
0,0,train,32,22.429309844970703,
0,0,train,32,22.22272491455078,
0,0,train,32,21.763437271118164,
0,0,train,32,21.835107803344727,
0,0,train,32,22.099130630493164,
0,0,train,32,22.36905288696289,
0,0,train,32,22.033536911010742,
0,0,train,32,21.856504440307617,
0,0,train,32,21.840478897094727,
0,0,train,32,21.80508804321289,
0,0,train,32,22.01608657836914,
0,0,train,32,21.73162078857422,
0,0,train,32,22.121505737304688,
0,0,train,32,21.74315643310547,
0,0,train,32,22.106033325195312,
0,0,train,32,21.942432403564453,
0,0,train,32,22.16104507446289,
0,0,train,32,21.847278594970703,
0,0,train,32,22.16488265991211,
0,0,train,32,21.7258358001709,
0,0,train,32,21.967601776123047,
0,0,train,32,22.013568878173828,
0,0,train,32,22.230106353759766,
0,0,train,32,21.578121185302734,
0,0,train,32,22.23570442199707,
0,0,train,32,21.890098571777344,
0,0,train,32,22.166179656982422,
0,0,train,32,22.061506271362305,
0,0,train,32,21.752666473388672,
0,0,train,32,22.112300872802734,
0,0,train,32,21.851882934570312,
0,0,train,32,22.047378540039062,
0,0,train,32,21.951366424560547,
0,0,train,32,21.799053192138672,
0,0,train,32,22.370769500732422,
0,0,train,32,21.981359481811523,
0,0,train,32,21.63401222229004,
0,0,train,32,22.344364166259766,
0,0,train,32,22.261554718017578,
0,0,train,32,22.082754135131836,
0,0,train,32,22.14335060119629,
0,0,train,32,21.91061019897461,
